0 Lejlighed Strubjerg 28 9400 1973 3 800000 10126 05-01-2015 Alm. Salg 9,918721 9,918721
1 Villa Luneborgvej 82 9382 1910 5 400000 2531 24-03-1992 Alm. Salg 9,9431827 9,9431827
2 Villa Johannes V. Jensens Vej 40 9200 1967 7 2200000 11956 23-04-2009 Alm. Salg 9,8833249 9,8833249
3 Villa Skovhusvej 55 9310 1820 9 347500 0 19-04-1995 Alm. Salg 10,125516 10,125516
4 Villa Struervej 27 9220 1998 5 200000 1369 14-04-1998 Alm. Salg 9,985427 9,985427
5 Villa Mylius Erichsens Vej 122 9210 1960 3 1825000 15336 10-06-2014 Alm. Salg 9,94389 9,94389
6 Villa Aresvej 6 9210 1983 6 2201250 16305 21-09-2009 Alm. Salg 9,9426621 9,9426621
7 Villa Hassinghøj 10 9280 1998 5 183835 1361 17-11-1997 Alm. Salg 10,0961036 10,0961036
8 Villa Drosselvej 46 9310 1978 4 1495000 11325 12-03-2015 Alm. Salg 10,1168429 10,1168429
9 Villa Krokusvej 17 9310 1953 3 935000 17641 07-02-2007 Alm. Salg 10,126422 10,126422
10 Lejlighed Beatesmindevej 169 9210 1970 3 665000 0 07-01-2002 Alm. Salg 9,931386 9,931386
11 Sommerhus Søndergade 36 9370 1968 6 1095000 12586 20-10-2009 Alm. Salg 10,370087 10,370087
12 Lejlighed Østergade 28D 9400 1850 4 1450000 15760 13-06-2008 Alm. Salg 9,9278 9,9278
13 Villa Brahmsvej 58 9200 2002 6 474000 2788 11-04-2001 Alm. Salg 9,8168849 9,8168849
14 Lejlighed Snerlevej 11 9000 1958 3 1100000 13924 29-10-2014 Alm. Salg 9,9062624 9,9062624
15 Villa Nørrehedevej 18 9370 1931 6 1000000 0 06-09-1992 Alm. Salg 10,286615 10,286615
16 Lejlighed Mellem Broerne 13 9400 2006 4 481851 3369 24-01-2005 Alm. Salg 9,918896 9,918896
17 Villa Zentavej 3 9260 1970 5 1333000 8600 21-11-2002 Alm. Salg 9,990925 9,990925
18 Lejlighed Priorgade 7B 9240 1956 1 435000 8700 05-01-2012 Alm. Salg 9,633031 9,633031
19 Rækkehus Lyngholmsvej 15 9200 1977 5 895000 7103 16-08-2012 Alm. Salg 9,889959 9,889959
20 Villa Kalmanparken 110 9200 1972 5 1950000 13732 03-10-2012 Alm. Salg 9,827157 9,827157
21 Villa Granen 12 9260 1977 5 675000 4856 26-05-1993 Alm. Salg 10,001322 10,001322
22 Villa Marsvej 15 9200 1967 4 1572500 11394 04-03-2009 Fam. Salg 9,9099799 9,9099799
23 Villa Brorsonsvej 16 9310 1966 18 924500 8640 13-12-2000 Alm. Salg 10,021359 10,021359
24 Rækkehus Godthåbsvej 81A 9230 1980 5 1600000 13223 26-06-2013 Alm. Salg 9,8366634 9,8366634
25 Villa Fuglestræde 5 9310 1957 3 775000 8157 18-04-2011 Alm. Salg 10,126083 10,126083
26 Sommerhus Rødkløvervej 38 9370 1981 4 850000 13934 06-09-2007 Fam. Salg 10,360965 10,360965
27 Sommerhus Pantervej 2 9370 1969 3 300000 5357 21-10-1998 Alm. Salg 10,355694 10,355694
28 Villa Skalvej 10 9240 1969 4 745000 6208 27-04-1999 Alm. Salg 9,650139 9,650139
29 Sommerhus Tøtmosen 70 9280 1979 3 315000 6702 13-09-2003 Alm. Salg 10,279309 10,279309
30 Sommerhus Nordmarksvej 18 9370 1979 4 420000 6562 06-09-2003 Alm. Salg 10,3531027 10,3531027
31 Sommerhus Skelhuse 6 9280 1970 3 175000 2134 14-10-1996 Alm. Salg 10,197476 10,197476
32 Villa Tagskægget 49 9380 1979 5 1121000 9663 28-07-2000 Alm. Salg 9,950322 9,950322
33 Sommerhus Torndalstrand 43 9370 1968 5 390000 4062 04-10-2003 Alm. Salg 10,359632 10,359632
34 Villa Thistedvej 63 9400 1905 6 892500 7197 26-11-2014 Fam. Salg 9,90215 9,90215
35 Villa Østervang 5 9362 1973 5 860000 4777 13-03-2005 Alm. Salg 10,181075 10,181075
36 Villa Hadsundvej 157 9000 1930 5 460000 3285 31-01-1996  9,957741 9,957741
37 Villa Ølandvej 42 9220 1980 5 769000 5492 26-10-1994 Alm. Salg 10,002492 10,002492
38 Lejlighed Sønderbro 15 9000 1943 2 675000 12053 07-02-2008 Fam. Salg 9,9315686 9,9315686
39 Villa Østermarksvej 2 9400 1932 4 710000 7395 31-07-1998 Alm. Salg 9,907356 9,907356
40 Villa Sønderskovvej 250 9362 1953 5 795000 5678 10-06-2005 Alm. Salg 10,192232 10,192232
41 Villa Bøgevænget 3 9430 1971 3 1295000 7316 30-07-2004 Alm. Salg 9,8537623 9,8537623
