1;Rækkehus;129;4;1989
2;Sommerhus;106;4;2008
3;Sommerhus;85;3;2008
4;Villa;98;4;1963
5;Rækkehus;92;4;1970
6;Lejlighed;119;3;1969
7;Villa;179;4;1970
8;Lejlighed;81;3;1939
9;Villa;152;5;2004
10;Villa;112;4;1975
11;Villa;210;6;1965
12;Lejlighed;173;4;1939
13;Rækkehus;102;3;1982
14;Villa;102;4;1923
15;Sommerhus;70;3;2008
16;Villa;155;5;1971
17;Villa;80;2;1959
18;Villa;104;4;1935
19;Rækkehus;111;4;1981
20;Lejlighed;87;3;1900
21;Villa;85;3;1952
22;Villa;106;3;1967
23;Rækkehus;141;4;1976
24;Villa;147;5;1955
25;Lejlighed;81;2;1959
26;Lejlighed;117;3;1889
27;Villa;171;5;1976
28;Rækkehus;129;5;1977
29;Lejlighed;53;1;1950
30;Villa;118;4;1959
31;Villa;144;6;1997
32;Villa;170;5;1972
33;Lejlighed;65;2;1929
34;Rækkehus;96;4;1960
35;Sommerhus;65;3;1974
36;Villa;231;7;1899
37;Sommerhus;91;5;1963
38;Villa;154;5;1934
39;Villa;150;4;1960
40;Villa;80;2;1948
41;Villa;114;3;1966
42;Sommerhus;60;3;1969
43;Villa;100;3;1934
44;Villa;142;4;1997
45;Lejlighed;77;2;1927
46;Sommerhus;92;4;1975
47;Villa;159;4;1976
48;Villa;70;3;1936
49;Villa;114;4;1978
50;Rækkehus;73;3;1981
51;Villa;105;3;1887
52;Lejlighed;79;3;1984
53;Villa;145;5;1998
54;Villa;169;6;1920
55;Lejlighed;84;3;1940
56;Rækkehus;130;6;1971
57;Villa;116;5;1844
58;Sommerhus;74;4;1984
59;Villa;255;6;1975
60;Villa;188;7;1962
61;Sommerhus;48;3;1970
62;Lejlighed;64;2;1939
63;Villa;91;3;1923
64;Villa;102;3;1956
65;Lejlighed;84;3;1953
66;Rækkehus;90;4;1965
67;Villa;127;4;1959
68;Villa;142;4;1960
69;Villa;134;4;1931
70;Villa;191;5;1969
71;Anden beboelse;98;3;1897
72;Villa;155;4;1890
73;Villa;146;4;1975
74;Villa;112;4;1915
75;Villa;138;4;1963
76;Sommerhus;80;2;1965
77;Lejlighed;64;2;1979
78;Villa;162;5;1969
79;Villa;88;3;1959
80;Lejlighed;66;2;1929
81;Villa;115;5;1962
82;Sommerhus;68;4;1989
83;Sommerhus;69;4;1970
84;Lejlighed;96;3;1912
85;Villa;140;4;1964
86;Lejlighed;79;3;1902
87;Lejlighed;98;3;1920
88;Villa;115;4;1981
89;Villa;125;4;1969
90;Villa;122;5;1938
91;Lejlighed;38;1;1972
92;Lejlighed;71;2;1939
93;Villa;126;6;1983
94;Villa;218;5;1890
95;Rækkehus;105;4;1953
96;Sommerhus;62;2;1963
97;Villa;106;4;1998
98;Villa;175;7;1962
99;Villa;151;6;1930
100;Villa;186;7;2006
101;Villa;169;5;1969
102;Villa;137;5;1977
103;Lejlighed;114;4;1957
104;Villa;132;3;1877
105;Lejlighed;58;2;1940
106;Villa;263;6;1962
107;Lejlighed;71;2;1955
108;Lejlighed;91;3;1959
109;Villa;225;7;1940
110;Villa;98;3;1960
111;Rækkehus;141;5;1976
112;Lejlighed;88;4;1969
113;Villa;120;5;1954
114;Rækkehus;94;3;1983
115;Sommerhus;125;5;2006
116;Sommerhus;35;2;1964
117;Lejlighed;170;5;1920
118;Villa;140;7;1982
119;Lejlighed;136;4;1969
120;Villa;146;5;1977
121;Villa;130;3;1970
122;Villa;100;4;1952
123;Villa;150;6;1963
124;Villa;152;5;1973
125;Villa;125;5;1982
126;Villa;144;5;1972
127;Villa;158;6;1967
128;Lejlighed;64;2;1926
129;Villa;237;9;1976
130;Rækkehus;183;5;1882
131;Lejlighed;118;5;1938
132;Rækkehus;141;5;1976
133;Villa;240;8;1965
134;Lejlighed;87;3;1966
135;Villa;143;6;1931
136;Villa;155;6;1935
137;Lejlighed;69;3;1950
138;Rækkehus;92;4;1970
139;Villa;124;4;1958
140;Villa;130;7;1924
141;Villa;213;6;2010
142;Lejlighed;76;2;1942
143;Lejlighed;47;2;1960
144;Villa;166;5;1993
145;Sommerhus;62;4;1967
146;Villa;218;7;1900
147;Sommerhus;85;5;1968
148;Villa;160;6;1973
149;Villa;135;3;1959
150;Villa;143;4;1983
151;Villa;128;5;1983
152;Sommerhus;49;3;1967
153;Villa;130;3;1939
154;Villa;79;3;1951
155;Lejlighed;38;1;1972
156;Lejlighed;120;4;1912
157;Lejlighed;36;1;1928
158;Lejlighed;80;3;1939
159;Villa;176;6;1922
160;Villa;135;3;1927
161;Lejlighed;31;1;1973
162;Villa;159;5;1972
163;Villa;134;4;1935
164;Lejlighed;98;4;1967
165;Villa;148;4;2006
166;Sommerhus;60;4;1976
167;Sommerhus;46;2;1966
168;Villa;120;4;1963
169;Villa;121;4;1915
170;Rækkehus;92;4;1970
171;Lejlighed;63;2;1949
172;Sommerhus;89;4;1962
173;Villa;194;6;1961
174;Villa;104;3;1957
175;Villa;160;6;1984
176;Villa;139;5;1986
177;Lejlighed;119;3;1969
178;Lejlighed;79;3;1902
179;Villa;126;4;1942
180;Villa;149;6;1959
181;Villa;128;4;1975
182;Sommerhus;111;5;1987
183;Sommerhus;72;4;1968
184;Rækkehus;96;4;1960
185;Lejlighed;64;2;1929
186;Lejlighed;119;3;1927
187;Villa;120;5;1938
188;Sommerhus;86;4;1981
189;Lejlighed;64;2;1939
190;Villa;164;6;1967
191;Villa;149;4;1944
192;Villa;166;5;1955
193;Villa;130;4;1877
194;Villa;143;5;1964
195;Villa;63;2;1967
196;Lejlighed;39;1;1972
197;Villa;133;4;1964
198;Lejlighed;92;2;1912
199;Villa;120;4;1966
200;Villa;206;6;1877
201;Lejlighed;49;2;1964
202;Villa;115;4;1928
203;Villa;126;5;1934
204;Villa;162;5;1951
205;Rækkehus;129;5;1977
206;Rækkehus;111;4;1981
207;Rækkehus;163;4;1926
208;Sommerhus;78;2;1958
209;Villa;155;5;1987
210;Villa;111;4;1958
211;Villa;155;5;1973
212;Rækkehus;88;3;1982
213;Lejlighed;47;2;1960
214;Sommerhus;114;3;2005
215;Sommerhus;62;3;1973
216;Lejlighed;95;4;1967
217;Rækkehus;109;4;1980
218;Villa;204;6;1964
219;Lejlighed;72;3;1920
220;Villa;282;10;1910
221;Villa;126;4;2006
222;Lejlighed;78;2;1920
223;Lejlighed;105;4;1953
224;Rækkehus;73;3;1981
225;Villa;240;9;1962
226;Sommerhus;60;3;1960
227;Villa;210;8;1963
228;Villa;254;6;1917
229;Villa;126;5;1977
230;Villa;105;4;1969
231;Villa;106;4;1960
232;Villa;100;5;1900
233;Villa;210;4;1974
234;Villa;149;4;1900
235;Villa;171;7;1932
236;Villa;135;5;1962
237;Villa;131;4;1932
238;Villa;101;5;1920
239;Rækkehus;131;4;1961
240;Villa;140;6;1998
241;Villa;139;5;1971
242;Villa;216;8;1960
243;Villa;141;5;2000
244;Sommerhus;70;4;1971
245;Rækkehus;113;4;1985
246;Villa;164;6;1932
247;Lejlighed;43;2;1898
248;Rækkehus;88;3;1981
249;Villa;181;4;1965
250;Villa;139;3;1965
251;Lejlighed;72;2;1977
252;Lejlighed;79;3;1966
253;Villa;103;5;1857
254;Villa;150;4;1935
255;Villa;166;6;1979
256;Lejlighed;86;3;1966
257;Lejlighed;70;3;1928
258;Villa;158;4;1955
259;Lejlighed;67;2;1977
260;Lejlighed;106;3;1850
261;Villa;93;3;1964
262;Villa;136;5;1966
263;Villa;175;6;1973
264;Villa;115;3;1964
265;Villa;150;5;1972
266;Rækkehus;76;3;1889
267;Villa;128;5;1999
268;Villa;142;4;1998
269;Villa;132;4;1957
270;Sommerhus;32;2;1964
271;Rækkehus;129;5;1977
272;Lejlighed;59;2;1949
273;Villa;138;6;1997
274;Villa;144;4;1974
275;Villa;157;4;1963
276;Villa;156;4;1976
277;Villa;150;5;1947
278;Villa;198;4;1923
279;Rækkehus;98;4;1970
280;Villa;220;6;1973
281;Rækkehus;101;4;1984
282;Villa;122;5;1906
283;Lejlighed;83;3;1967
284;Villa;147;5;1976
285;Villa;106;4;1925
286;Villa;150;6;1967
287;Sommerhus;57;4;1967
288;Villa;167;7;1961
289;Lejlighed;43;1;1972
290;Lejlighed;70;2;1969
291;Sommerhus;93;5;1972
292;Lejlighed;64;2;1963
293;Lejlighed;83;3;1967
294;Villa;159;6;1924
295;Lejlighed;42;1;1972
296;Villa;146;5;1967
297;Villa;115;4;1954
298;Villa;57;3;1947
299;Sommerhus;56;4;1968
300;Villa;133;4;1958
301;Sommerhus;56;3;1973
302;Villa;82;4;1852
303;Sommerhus;69;4;1972
304;Villa;115;4;1967
305;Lejlighed;34;1;1959
306;Lejlighed;84;3;1971
307;Villa;142;5;1954
308;Lejlighed;84;3;1952
309;Villa;161;4;1957
310;Villa;120;6;1950
311;Villa;145;5;2001
312;Villa;160;5;1963
313;Rækkehus;83;3;1989
314;Villa;134;5;1960
315;Lejlighed;128;4;1875
316;Lejlighed;55;2;1926
317;Lejlighed;72;3;1896
318;Villa;140;4;1920
319;Lejlighed;83;3;1899
320;Lejlighed;66;2;1926
321;Villa;174;6;1997
322;Villa;199;6;1985
323;Villa;112;3;1925
324;Sommerhus;39;3;1956
325;Villa;109;4;1935
326;Rækkehus;133;4;1988
327;Villa;134;5;1961
328;Villa;170;5;1916
329;Sommerhus;79;3;1957
330;Villa;100;3;1962
331;Villa;155;5;1984
332;Sommerhus;32;2;1955
333;Villa;129;4;1985
334;Villa;250;7;1920
335;Villa;184;6;1984
336;Villa;140;4;1940
337;Villa;120;5;1948
338;Villa;143;5;1997
339;Villa;125;6;1954
340;Villa;256;7;1977
341;Villa;100;5;1947
342;Villa;85;4;1872
343;Villa;212;5;1961
344;Rækkehus;114;4;1983
345;Villa;159;5;1970
346;Sommerhus;49;3;1958
347;Lejlighed;83;3;1963
348;Villa;136;4;1977
349;Villa;102;4;1946
350;Villa;85;3;1954
351;Villa;179;6;1984
352;Villa;161;6;1955
353;Lejlighed;65;2;1937
354;Lejlighed;59;2;1939
355;Sommerhus;69;4;1976
356;Rækkehus;103;3;1964
357;Villa;111;4;1978
358;Villa;125;4;2001
359;Lejlighed;99;3;1963
360;Lejlighed;104;4;1939
361;Lejlighed;52;1;1990
362;Villa;145;4;1911
363;Lejlighed;124;4;2006
364;Villa;145;5;1967
365;Villa;209;6;1980
366;Lejlighed;200;6;1934
367;Villa;100;3;1952
368;Villa;123;4;1999
369;Villa;110;3;1951
370;Villa;195;7;1954
371;Sommerhus;85;3;1975
372;Lejlighed;108;4;2006
373;Villa;146;5;1929
374;Villa;112;4;1960
375;Villa;170;6;2006
376;Sommerhus;65;4;1950
377;Sommerhus;115;3;2006
378;Rækkehus;109;4;1984
379;Villa;150;5;1972
380;Villa;117;4;1960
381;Villa;170;4;1952
382;Rækkehus;87;3;2008
383;Villa;82;4;1921
384;Lejlighed;69;2;1969
385;Lejlighed;64;2;1963
386;Rækkehus;133;4;2002
387;Villa;150;5;1958
388;Villa;139;4;1973
389;Lejlighed;121;4;1896
390;Sommerhus;100;4;2012
391;Villa;101;3;1964
392;Sommerhus;140;5;1999
393;Villa;150;5;1974
394;Villa;182;4;2001
395;Villa;170;6;1969
396;Villa;152;3;1966
397;Villa;110;4;1964
398;Lejlighed;66;2;1971
399;Villa;138;5;1979
400;Villa;147;5;1967
401;Villa;125;3;1965
402;Lejlighed;56;2;1954
403;Villa;119;5;1967
404;Villa;191;6;1997
405;Lejlighed;68;2;1949
406;Lejlighed;66;3;1926
407;Sommerhus;118;4;2010
408;Villa;129;4;1985
409;Sommerhus;91;4;1966
410;Sommerhus;61;3;1968
411;Sommerhus;126;4;2003
412;Villa;102;3;1948
413;Rækkehus;96;4;1969
414;Villa;208;6;1998
415;Villa;150;5;1960
416;Lejlighed;200;5;1875
417;Rækkehus;90;4;1965
418;Sommerhus;36;1;1957
419;Sommerhus;55;2;1968
420;Villa;265;5;1921
421;Villa;148;5;1966
422;Sommerhus;67;4;1964
423;Lejlighed;83;3;1971
424;Sommerhus;48;2;1999
425;Lejlighed;74;3;1959
426;Villa;188;6;2007
427;Villa;113;4;1957
428;Villa;151;5;1977
429;Villa;192;7;1947
430;Villa;117;5;1926
431;Villa;138;5;2006
432;Villa;184;8;1931
433;Villa;106;3;1949
434;Villa;178;5;1966
435;Rækkehus;112;4;1965
436;Villa;96;4;1960
437;Sommerhus;68;4;1970
438;Villa;153;7;1945
439;Villa;115;4;1950
440;Villa;180;7;1970
441;Sommerhus;112;3;2000
442;Rækkehus;138;5;1971
443;Rækkehus;116;3;1944
444;Villa;166;4;1890
445;Villa;113;4;1974
446;Villa;72;4;1877
447;Villa;149;2;1958
448;Sommerhus;132;7;1974
449;Villa;182;7;1987
450;Lejlighed;76;2;1856
451;Sommerhus;36;2;1965
452;Sommerhus;53;3;1969
453;Lejlighed;59;2;1925
454;Villa;94;4;1928
455;Lejlighed;79;3;1958
456;Lejlighed;43;1;1972
457;Villa;94;4;1943
458;Villa;130;5;1977
459;Villa;146;4;1943
460;Villa;161;5;1973
461;Lejlighed;69;2;1938
462;Lejlighed;81;2;2005
463;Villa;172;6;1968
464;Villa;106;4;1970
465;Lejlighed;61;3;1898
466;Villa;150;5;1979
467;Lejlighed;95;4;1967
468;Villa;150;5;1951
469;Villa;150;4;2004
470;Sommerhus;54;3;1989
471;Villa;94;4;1930
472;Villa;130;5;1963
473;Villa;174;4;1965
474;Lejlighed;71;2;1977
475;Villa;110;4;1954
476;Villa;105;5;1948
477;Villa;72;5;1936
478;Sommerhus;107;4;2002
479;Lejlighed;108;4;1900
480;Villa;184;6;1972
481;Villa;164;5;1969
482;Villa;125;4;1959
483;Villa;122;5;1930
484;Villa;60;2;1877
485;Villa;144;3;1954
486;Villa;167;4;1973
487;Fritid;0;1;1943
488;Villa;114;4;1948
489;Villa;127;4;1979
490;Sommerhus;70;4;1972
491;Sommerhus;88;4;1961
492;Villa;150;5;1976
493;Villa;117;5;1983
494;Villa;96;3;1885
495;Sommerhus;73;3;1982
496;Villa;112;3;1959
497;Villa;142;6;1951
498;Villa;193;9;1971
499;Lejlighed;99;4;1970
500;Villa;172;6;1983
501;Sommerhus;99;4;2007
502;Lejlighed;56;2;1943
503;Lejlighed;59;2;1939
504;Villa;145;5;1943
505;Villa;186;5;1999
506;Villa;90;3;1962
507;Lejlighed;93;3;1938
508;Sommerhus;91;6;1969
509;Sommerhus;145;4;1966
510;Villa;182;7;1998
511;Sommerhus;150;7;1973
512;Villa;205;7;1953
513;Villa;122;4;1931
514;Villa;72;2;1936
515;Sommerhus;65;3;1979
516;Sommerhus;84;4;1969
517;Lejlighed;73;2;1952
518;Sommerhus;60;2;2004
519;Villa;140;6;1965
520;Villa;197;5;1881
521;Villa;151;4;1970
522;Rækkehus;126;5;1977
523;Villa;132;5;1963
524;Lejlighed;44;1;1990
525;Lejlighed;144;5;2006
526;Sommerhus;35;2;1946
527;Villa;129;4;1965
528;Villa;117;4;1921
529;Lejlighed;73;3;1896
530;Villa;118;4;1969
531;Lejlighed;145;4;1899
532;Sommerhus;133;4;2003
533;Lejlighed;87;3;1952
534;Villa;151;4;1972
535;Villa;178;6;1884
536;Villa;150;6;1959
537;Villa;317;6;1972
538;Villa;180;6;1963
539;Villa;186;6;1973
540;Lejlighed;50;2;1959
541;Villa;145;5;1966
542;Lejlighed;81;3;1899
543;Villa;134;4;1947
544;Lejlighed;35;1;1959
545;Villa;158;6;1970
546;Rækkehus;120;4;1989
547;Villa;150;5;1946
548;Sommerhus;55;3;1963
549;Villa;254;7;1915
550;Villa;200;8;1933
551;Sommerhus;54;3;1975
552;Rækkehus;109;4;1980
553;Villa;134;5;1931
554;Villa;164;5;1970
555;Lejlighed;61;2;1950
556;Lejlighed;91;3;1959
557;Villa;202;5;1980
558;Villa;194;6;2013
559;Lejlighed;80;3;1939
560;Villa;150;5;1931
561;Villa;120;5;1981
562;Lejlighed;94;3;1912
563;Lejlighed;56;2;1969
564;Sommerhus;51;3;1973
565;Villa;116;5;1986
566;Villa;184;6;1972
567;Sommerhus;37;3;1968
568;Villa;249;7;1948
569;Villa;141;6;1924
570;Villa;192;7;1961
571;Villa;117;4;1950
572;Sommerhus;64;4;1962
573;Lejlighed;61;2;1970
574;Sommerhus;69;4;1962
575;Lejlighed;84;3;1957
576;Villa;159;4;1970
577;Villa;139;5;1972
578;Rækkehus;128;6;1965
579;Villa;220;5;1960
580;Sommerhus;66;4;1971
581;Rækkehus;141;7;1976
582;Villa;160;4;1965
583;Villa;125;5;1997
584;Sommerhus;38;3;1964
585;Rækkehus;96;4;1960
586;Villa;120;3;1905
587;Sommerhus;80;4;1994
588;Villa;282;5;1928
589;Villa;117;5;1972
590;Lejlighed;102;3;1979
591;Villa;171;4;1972
592;Villa;125;4;1968
593;Lejlighed;92;2;1927
594;Sommerhus;62;3;1970
595;Villa;159;4;1976
596;Rækkehus;90;4;1965
597;Sommerhus;45;2;1952
598;Villa;126;4;1977
599;Lejlighed;84;3;1940
600;Villa;170;3;1933
601;Lejlighed;79;3;1973
602;Lejlighed;84;3;1953
603;Villa;146;7;1969
604;Sommerhus;42;3;1968
605;Lejlighed;76;3;1942
606;Sommerhus;60;2;1954
607;Rækkehus;101;4;1984
